,start_station,end_station,size,Unnamed: 0,index,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,mes
159,212,212,239,207146,207146,40.3981605,-3.7165313,-3.7165313,40.3981605,1780,2020-11-24T23:00:00Z,2020/10/01
160,212,212,239,207212,207212,40.3981605,-3.7165313,-3.7165313,40.3981605,17,2020-11-25T16:00:00Z,2020/10/01
161,212,212,239,207313,207313,40.3981605,-3.7165313,-3.7165313,40.3981605,3138,2020-11-27T14:00:00Z,2020/10/01
162,212,212,239,208729,208729,40.3981605,-3.7165313,-3.7165313,40.3981605,6512,2020-11-17T18:00:00Z,2020/10/01
163,212,212,239,208850,208850,40.3981605,-3.7165313,-3.7165313,40.3981605,9,2020-11-19T09:00:00Z,2020/10/01
164,212,212,239,209648,209648,40.3981605,-3.7165313,-3.7165313,40.3981605,2356,2020-11-29T12:00:00Z,2020/10/01
165,212,212,239,209781,209781,40.3981605,-3.7165313,-3.7165313,40.3981605,889,2020-11-30T21:00:00Z,2020/10/01
166,212,212,239,211812,211812,40.3981605,-3.7165313,-3.7165313,40.3981605,5,2020-11-25T16:00:00Z,2020/10/01
167,212,212,239,212452,212452,40.3981605,-3.7165313,-3.7165313,40.3981605,970,2020-11-05T14:00:00Z,2020/10/01
168,212,212,239,212659,212659,40.3981605,-3.7165313,-3.7165313,40.3981605,631,2020-11-08T15:00:00Z,2020/10/01
169,212,212,239,213942,213942,40.3981605,-3.7165313,-3.7165313,40.3981605,644,2020-11-22T21:00:00Z,2020/10/01
170,212,212,239,214830,214830,40.3981605,-3.7165313,-3.7165313,40.3981605,6,2020-11-06T11:00:00Z,2020/10/01
171,212,212,239,217508,217508,40.3981605,-3.7165313,-3.7165313,40.3981605,41,2020-11-11T11:00:00Z,2020/10/01
172,212,212,239,221558,221558,40.3981605,-3.7165313,-3.7165313,40.3981605,1237,2020-11-03T13:00:00Z,2020/10/01
173,212,212,239,221658,221658,40.3981605,-3.7165313,-3.7165313,40.3981605,3511,2020-11-04T19:00:00Z,2020/10/01
174,212,212,239,228345,228345,40.3981605,-3.7165313,-3.7165313,40.3981605,652,2020-11-30T07:00:00Z,2020/10/01
175,212,212,239,228631,228631,40.3981605,-3.7165313,-3.7165313,40.3981605,1596,2020-11-04T13:00:00Z,2020/10/01
176,212,212,239,228895,228895,40.3981605,-3.7165313,-3.7165313,40.3981605,975,2020-11-08T14:00:00Z,2020/10/01
177,212,212,239,229919,229919,40.3981605,-3.7165313,-3.7165313,40.3981605,2763,2020-11-20T13:00:00Z,2020/10/01
178,212,212,239,232582,232582,40.3981605,-3.7165313,-3.7165313,40.3981605,29,2020-11-24T11:00:00Z,2020/10/01
179,212,212,239,234843,234843,40.3981605,-3.7165313,-3.7165313,40.3981605,1328,2020-11-23T18:00:00Z,2020/10/01
180,212,212,239,235022,235022,40.3981605,-3.7165313,-3.7165313,40.3981605,6,2020-11-25T16:00:00Z,2020/10/01
181,212,212,239,237824,237824,40.3981605,-3.7165313,-3.7165313,40.3981605,344,2020-11-04T08:00:00Z,2020/10/01
182,212,212,239,240136,240136,40.3981605,-3.7165313,-3.7165313,40.3981605,834,2020-11-04T12:00:00Z,2020/10/01
183,212,212,239,242176,242176,40.3981605,-3.7165313,-3.7165313,40.3981605,1447,2020-11-01T21:00:00Z,2020/10/01
184,212,212,239,242400,242400,40.3981605,-3.7165313,-3.7165313,40.3981605,707,2020-11-05T13:00:00Z,2020/10/01
185,212,212,239,242641,242641,40.3981605,-3.7165313,-3.7165313,40.3981605,4359,2020-11-08T17:00:00Z,2020/10/01
186,212,212,239,242656,242656,40.3981605,-3.7165313,-3.7165313,40.3981605,1080,2020-11-08T21:00:00Z,2020/10/01
187,212,212,239,244112,244112,40.3981605,-3.7165313,-3.7165313,40.3981605,2820,2020-11-26T11:00:00Z,2020/10/01
188,212,212,239,244116,244116,40.3981605,-3.7165313,-3.7165313,40.3981605,1420,2020-11-26T14:00:00Z,2020/10/01
189,212,212,239,244517,244517,40.3981605,-3.7165313,-3.7165313,40.3981605,2235,2020-11-02T13:00:00Z,2020/10/01
190,212,212,239,249212,249212,40.3981605,-3.7165313,-3.7165313,40.3981605,8094,2020-11-02T11:00:00Z,2020/10/01
191,212,212,239,249669,249669,40.3981605,-3.7165313,-3.7165313,40.3981605,4146,2020-11-09T13:00:00Z,2020/10/01
192,212,212,239,250643,250643,40.3981605,-3.7165313,-3.7165313,40.3981605,5418,2020-11-19T20:00:00Z,2020/10/01
193,212,212,239,251773,251773,40.3981605,-3.7165313,-3.7165313,40.3981605,529,2020-11-05T22:00:00Z,2020/10/01
194,212,212,239,254261,254261,40.3981605,-3.7165313,-3.7165313,40.3981605,2116,2020-11-08T12:00:00Z,2020/10/01
195,212,212,239,254291,254291,40.3981605,-3.7165313,-3.7165313,40.3981605,1245,2020-11-08T18:00:00Z,2020/10/01
196,212,212,239,255576,255576,40.3981605,-3.7165313,-3.7165313,40.3981605,1850,2020-11-23T20:00:00Z,2020/10/01
197,212,212,239,256785,256785,40.3981605,-3.7165313,-3.7165313,40.3981605,840,2020-11-11T21:00:00Z,2020/10/01
198,212,212,239,258411,258411,40.3981605,-3.7165313,-3.7165313,40.3981605,787,2020-11-01T22:00:00Z,2020/10/01
199,212,212,239,258820,258820,40.3981605,-3.7165313,-3.7165313,40.3981605,1494,2020-11-08T12:00:00Z,2020/10/01
200,212,212,239,259317,259317,40.3981605,-3.7165313,-3.7165313,40.3981605,2050,2020-11-13T15:00:00Z,2020/10/01
201,212,212,239,260008,260008,40.3981605,-3.7165313,-3.7165313,40.3981605,393,2020-11-21T00:00:00Z,2020/10/01
202,212,212,239,261444,261444,40.3981605,-3.7165313,-3.7165313,40.3981605,16,2020-11-11T11:00:00Z,2020/10/01
203,212,212,239,262038,262038,40.3981605,-3.7165313,-3.7165313,40.3981605,358,2020-11-18T11:00:00Z,2020/10/01
204,212,212,239,263189,263189,40.3981605,-3.7165313,-3.7165313,40.3981605,843,2020-11-03T18:00:00Z,2020/10/01
205,212,212,239,265165,265165,40.3981605,-3.7165313,-3.7165313,40.3981605,3426,2020-11-28T22:00:00Z,2020/10/01
206,212,212,239,267886,267886,40.3981605,-3.7165313,-3.7165313,40.3981605,14,2020-11-06T11:00:00Z,2020/10/01
207,212,212,239,268284,268284,40.3981605,-3.7165313,-3.7165313,40.3981605,1211,2020-11-11T13:00:00Z,2020/10/01
208,212,212,239,269362,269362,40.3981605,-3.7165313,-3.7165313,40.3981605,1494,2020-11-23T14:00:00Z,2020/10/01
209,212,212,239,270149,270149,40.3981605,-3.7165313,-3.7165313,40.3981605,7,2020-11-06T11:00:00Z,2020/10/01
210,212,212,239,270280,270280,40.3981605,-3.7165313,-3.7165313,40.3981605,4384,2020-11-07T19:00:00Z,2020/10/01
