MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
7944800;MU-51 - Soporte de Bicicletas Universal;08;FUENCARRAL-EL PARDO;085;LA PAZ;OPERATIVO;;CALLE;PEDRO RICO;4;20103363;MU-51
7944801;MU-51 - Soporte de Bicicletas Universal;08;FUENCARRAL-EL PARDO;085;LA PAZ;OPERATIVO;;CALLE;PEDRO RICO;4;20103363;MU-51
7944807;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;032;ADELFAS;OPERATIVO;;CALLE;VALDERRIBAS;99;20045674;MU-51
7944808;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;032;ADELFAS;OPERATIVO;;CALLE;VALDERRIBAS;99;20045674;MU-51
7944810;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;041;RECOLETOS;OPERATIVO;;CALLE;ALCALA;53;11013649;MU-51
7944812;MU-51 - Soporte de Bicicletas Universal;05;CHAMARTIN;055;NUEVA ESPAÑA;OPERATIVO;;PLAZA;CASTILLA;9;20131087;MU-51
7944813;MU-51 - Soporte de Bicicletas Universal;05;CHAMARTIN;055;NUEVA ESPAÑA;OPERATIVO;;PLAZA;CASTILLA;9;20131087;MU-51
7944815;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;JUAN ESPLANDIU;1;11012057;MU-51
7944824;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;033;ESTRELLA;OPERATIVO;;PLAZA;CONDE DE CASAL;5B;31031832;MU-51
7944825;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;033;ESTRELLA;OPERATIVO;;PLAZA;CONDE DE CASAL;5B;31031832;MU-51
7944826;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;033;ESTRELLA;OPERATIVO;;PLAZA;CONDE DE CASAL;5B;31031832;MU-51
7944827;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;033;ESTRELLA;OPERATIVO;;PLAZA;CONDE DE CASAL;5B;31031832;MU-51
7944828;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;033;ESTRELLA;OPERATIVO;;PLAZA;CONDE DE CASAL;5B;31031832;MU-51
7944837;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;JUAN ESPLANDIU;13;11012086;MU-51
7944838;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;JUAN ESPLANDIU;13;11012086;MU-51
7944839;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;JUAN ESPLANDIU;13;11012086;MU-51
7944840;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;JUAN ESPLANDIU;13;11012086;MU-51
7944841;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;JUAN ESPLANDIU;13;11012086;MU-51
7945053;MU-51 - Soporte de Bicicletas Universal;17;VILLAVERDE;172;SAN CRISTOBAL;OPERATIVO;;CALLE;BENIMAMET;30;31009424;MU-51
7945056;ACB - Aparcabicis carril bicicletas;11;CARABANCHEL;116;BUENAVISTA;OPERATIVO;;AVENIDA;POBLADOS;104;31036026;ACB
7945067;ACB - Aparcabicis carril bicicletas;08;FUENCARRAL-EL PARDO;086;VALVERDE;OPERATIVO;;CALLE;SIERRA DE ATAPUERCA;49;31030555;ACB
7945068;ACB - Aparcabicis carril bicicletas;08;FUENCARRAL-EL PARDO;086;VALVERDE;OPERATIVO;;CALLE;SIERRA DE ATAPUERCA;49;31030555;ACB
7945069;ACB - Aparcabicis carril bicicletas;08;FUENCARRAL-EL PARDO;086;VALVERDE;OPERATIVO;;CALLE;SIERRA DE ATAPUERCA;49;31030555;ACB
7945070;ACB - Aparcabicis carril bicicletas;08;FUENCARRAL-EL PARDO;086;VALVERDE;OPERATIVO;;CALLE;SIERRA DE ATAPUERCA;49;31030555;ACB
7945116;MU-51 - Soporte de Bicicletas Universal;04;SALAMANCA;041;RECOLETOS;OPERATIVO;;CALLE;GOYA;10;11013902;MU-51
7946514;MU-51 Soporte de Bicicletas Universal;01;CENTRO;012;EMBAJADORES;OPERATIVO;24/06/2021;CALLE;SANTA ISABEL;20;11002613;MU-51
