,index,start_station,start_station_Latitud,start_station_Longitud,end_station,end_station_Longitud,end_station_Latitud,travel_time,hour_time
170,173,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,21,2020-04-22T06:00:00Z
171,174,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,12,2020-04-22T06:00:00Z
172,175,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,14,2020-04-22T06:00:00Z
173,176,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,23,2020-04-22T06:00:00Z
174,177,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,10,2020-04-22T06:00:00Z
175,178,173,40.3981757,-3.7023615,173,-3.7023615,40.3981757,16,2020-04-22T06:00:00Z
176,179,18,40.4209206,-3.6995679,107,-3.6884243,40.4215952,516,2020-04-22T06:00:00Z
177,180,84,40.4033695,-3.6726923,81,-3.6919663,40.4095758,253,2020-04-22T06:00:00Z
178,181,57,40.4296363,-3.7128181,59,-3.7041167,40.4254802,582,2020-04-22T06:00:00Z
179,182,67,40.410829,-3.6931349,28,-3.6983662,40.4180695,927,2020-04-22T06:00:00Z
180,183,120,40.4030362,-3.6947791,107,-3.6884243,40.4215952,910,2020-04-22T06:00:00Z
181,184,214,40.4434012,-3.6569597,157,-3.6893305,40.459282,631,2020-04-22T06:00:00Z
182,185,129,40.4384684,-3.6982818,52,-3.7007838,40.4145181,227,2020-04-22T06:00:00Z
183,186,187,40.4301353,-3.6638407,90,-3.6835613,40.4250791,826,2020-04-22T06:00:00Z
184,187,155,40.4572863,-3.700864,108,-3.670653,40.4274425,417,2020-04-22T06:00:00Z
185,188,57,40.4296363,-3.7128181,33,-3.7032096,40.4164757,299,2020-04-22T06:00:00Z
186,189,198,40.4331172,-3.6915713,76,-3.6751544,40.4072851,945,2020-04-22T06:00:00Z
187,190,17,40.4231675,-3.7041859,160,-3.6766176,40.4571995,661,2020-04-22T06:00:00Z
188,191,57,40.4296363,-3.7128181,81,-3.6919663,40.4095758,687,2020-04-22T06:00:00Z
189,192,182,40.4187145,-3.6655023,185,-3.661533,40.4250682,284,2020-04-22T06:00:00Z
190,193,161,40.4221372,-3.7220624,40,-3.7047463,40.4137865,730,2020-04-22T06:00:00Z
191,194,65,40.4166859,-3.6893825,201,-3.7038161,40.4387323,576,2020-04-22T06:00:00Z
192,195,183,40.4256358,-3.6694506,60,-3.6881994,40.4194508,1025,2020-04-22T06:00:00Z
193,196,52,40.4145181,-3.7007838,84,-3.6726923,40.4033695,310,2020-04-22T06:00:00Z
194,197,5,40.428362,-3.7020743,19,-3.6953951,40.4218997,189,2020-04-22T06:00:00Z
195,198,65,40.4166859,-3.6893825,83,-3.6745339,40.4132589,518,2020-04-22T06:00:00Z
196,199,26,40.4238308,-3.6945421,178,-3.6788939,40.4030242,442,2020-04-22T06:00:00Z
197,200,128,40.4390329,-3.7155506,9,-3.7094093,40.4156134,761,2020-04-22T06:00:00Z
198,201,177,40.3915019,-3.694087,167,-3.7176456,40.4137331,1677,2020-04-22T06:00:00Z
199,202,40,40.4137865,-3.7047463,177,-3.694087,40.3915019,357,2020-04-22T06:00:00Z
200,203,10,40.4254027,-3.6920816,187,-3.6638407,40.4301353,887,2020-04-22T06:00:00Z
201,204,52,40.4145181,-3.7007838,152,-3.6989497,40.4527163,1358,2020-04-22T06:00:00Z
202,205,43,40.4100889,-3.7025446,216,-3.7288948,40.4140528,1635,2020-04-22T06:00:00Z
203,206,50,40.4083102,-3.69322,118,-3.688135,40.4007959,1109,2020-04-22T06:00:00Z
204,207,39,40.4112662,-3.7090043,188,-3.6589062,40.4311658,1196,2020-04-22T06:00:00Z
205,208,42,40.4107714,-3.6982294,125,-3.6948316,40.4353128,6843,2020-04-22T06:00:00Z
206,209,17,40.4231675,-3.7041859,17,-3.7041859,40.4231675,12294,2020-04-22T06:00:00Z
207,210,57,40.4296363,-3.7128181,86,-3.6933298,40.4185779,238,2020-04-22T07:00:00Z
208,211,143,40.434616,-3.6782355,84,-3.6726923,40.4033695,953,2020-04-22T07:00:00Z
209,212,86,40.4185779,-3.6933298,95,-3.6869914,40.4226634,636,2020-04-22T07:00:00Z
210,213,1,40.4171107,-3.701998,128,-3.7156915,40.4390391,755,2020-04-22T07:00:00Z
211,214,49,40.4060497,-3.6992427,157,-3.6893305,40.459282,765,2020-04-22T07:00:00Z
212,215,19,40.4218997,-3.6953951,38,-3.7114443,40.4112961,329,2020-04-22T07:00:00Z
213,216,160,40.4571995,-3.6766176,17,-3.7041859,40.4231675,655,2020-04-22T07:00:00Z
214,217,106,40.4248642,-3.6878868,202,-3.7080969,40.4411686,396,2020-04-22T07:00:00Z
215,218,182,40.4187145,-3.6655023,117,-3.7189152,40.4309046,1072,2020-04-22T07:00:00Z
216,219,106,40.4248642,-3.6878868,11,-3.7036192,40.4270517,610,2020-04-22T07:00:00Z
217,220,77,40.4063347,-3.6707742,102,-3.6840806,40.4211552,461,2020-04-22T07:00:00Z
218,221,67,40.410829,-3.6931349,89,-3.6751716,40.4272628,382,2020-04-22T07:00:00Z
219,222,43,40.4100889,-3.7025446,13,-3.7104727,40.4273652,445,2020-04-22T07:00:00Z
220,223,81,40.4095758,-3.6919663,102,-3.6840806,40.4211552,485,2020-04-22T07:00:00Z
221,224,1,40.4171107,-3.701998,103,-3.6865351,40.4303733,1452,2020-04-22T07:00:00Z
222,225,77,40.4063347,-3.6707742,131,-3.704022,40.4417543,1665,2020-04-22T07:00:00Z
223,226,49,40.4060497,-3.6992427,149,-3.6878512,40.4498448,1447,2020-04-22T07:00:00Z
224,227,65,40.4166859,-3.6893825,115,-3.7169626,40.4253802,390,2020-04-22T07:00:00Z
225,228,171,40.3997626,-3.6984459,165,-3.6976134,40.3928841,456,2020-04-22T07:00:00Z
226,229,61,40.4214379,-3.675206,61,-3.675206,40.4214379,5,2020-04-22T07:00:00Z
227,230,61,40.4214379,-3.675206,61,-3.675206,40.4214379,12,2020-04-22T07:00:00Z
228,231,187,40.4301353,-3.6638407,176,-3.6936302,40.3942411,698,2020-04-22T07:00:00Z
229,232,185,40.4250682,-3.661533,52,-3.7007838,40.4145181,419,2020-04-22T07:00:00Z
230,233,128,40.4390329,-3.7155506,164,-3.6944851,40.3971366,882,2020-04-22T07:00:00Z
231,234,75,40.4083387,-3.6784149,171,-3.6984459,40.3997626,471,2020-04-22T07:00:00Z
232,235,34,40.4144117,-3.7035044,163,-3.7064372,40.4036349,1219,2020-04-22T07:00:00Z
233,236,49,40.4060497,-3.6992427,118,-3.688135,40.4007959,844,2020-04-22T07:00:00Z
234,237,120,40.4030362,-3.6947791,93,-3.6894124,40.4256984,1375,2020-04-22T07:00:00Z
235,238,105,40.4270684,-3.6874745,192,-3.6714315,40.431855,227,2020-04-22T07:00:00Z
236,239,41,40.412228,-3.6989898,199,-3.7148406,40.4343244,1235,2020-04-22T07:00:00Z
237,240,80,40.4074122,-3.6904816,113,-3.7207145,40.4277472,455,2020-04-22T07:00:00Z
238,241,171,40.3997626,-3.6984459,198,-3.6915713,40.4331172,264,2020-04-22T07:00:00Z
239,242,86,40.4185779,-3.6933298,100,-3.6738777,40.4247843,636,2020-04-22T07:00:00Z
240,243,192,40.431855,-3.6714315,192,-3.6714315,40.431855,2237,2020-04-22T07:00:00Z
241,244,118,40.4007959,-3.688135,56,-3.7032875,40.418484,922,2020-04-22T07:00:00Z
242,245,160,40.4571995,-3.6766176,46,-3.7071178,40.4054496,1176,2020-04-22T07:00:00Z
243,246,190,40.4343761,-3.6834711,86,-3.6933298,40.4185779,2552,2020-04-22T07:00:00Z
244,247,57,40.4296363,-3.7128181,57,-3.7128181,40.4296363,4045,2020-04-22T07:00:00Z
245,248,61,40.4214379,-3.675206,61,-3.675206,40.4214379,1511,2020-04-22T07:00:00Z
246,249,61,40.4214379,-3.675206,61,-3.675206,40.4214379,2289,2020-04-22T07:00:00Z
247,250,61,40.4214379,-3.675206,61,-3.675206,40.4214379,11,2020-04-22T08:00:00Z
248,251,61,40.4214379,-3.675206,61,-3.675206,40.4214379,9,2020-04-22T08:00:00Z
249,252,129,40.4384684,-3.6982818,53,-3.7007295,40.4082802,284,2020-04-22T08:00:00Z
250,253,61,40.4214379,-3.675206,61,-3.675206,40.4214379,4,2020-04-22T08:00:00Z
251,254,17,40.4231675,-3.7041859,121,-3.6986046,40.4018356,399,2020-04-22T08:00:00Z
252,255,171,40.3997626,-3.6984459,93,-3.6894124,40.4256984,237,2020-04-22T08:00:00Z
253,256,119,40.4014567,-3.6865777,157,-3.6893305,40.459282,854,2020-04-22T08:00:00Z
254,257,65,40.4166859,-3.6893825,78,-3.6745783,40.4005704,294,2020-04-22T08:00:00Z
255,258,201,40.4387323,-3.7038161,171,-3.6984459,40.3997626,225,2020-04-22T08:00:00Z
256,259,52,40.4145181,-3.7007838,11,-3.7036192,40.4270517,1065,2020-04-22T08:00:00Z
257,260,53,40.4082802,-3.7007295,47,-3.702755,40.4046233,229,2020-04-22T08:00:00Z
258,261,5,40.428362,-3.7020743,200,-3.704671,40.4336617,777,2020-04-22T08:00:00Z
259,262,26,40.4238308,-3.6945421,175,-3.6983033,40.3962687,670,2020-04-22T08:00:00Z
260,263,158,40.45862,-3.6847049,158,-3.6847049,40.45862,497,2020-04-22T08:00:00Z
261,264,213,40.3889363,-3.7001575,218,-3.6573999,40.4105519,1251,2020-04-22T08:00:00Z
262,265,183,40.4256358,-3.6694506,160,-3.6766176,40.4571995,1458,2020-04-22T08:00:00Z
263,266,158,40.45862,-3.6847049,111,-3.7177783,40.433982,792,2020-04-22T08:00:00Z
264,267,78,40.4005704,-3.6745783,56,-3.7032875,40.418484,858,2020-04-22T08:00:00Z
265,268,47,40.4046233,-3.702755,129,-3.6982818,40.4384684,278,2020-04-22T08:00:00Z
266,269,125,40.4353128,-3.6948316,125,-3.6948316,40.4353128,20,2020-04-22T08:00:00Z
267,270,125,40.4353128,-3.6948316,125,-3.6948316,40.4353128,15,2020-04-22T08:00:00Z
268,271,125,40.4353128,-3.6948316,125,-3.6948316,40.4353128,153,2020-04-22T08:00:00Z
269,272,84,40.4033695,-3.6726923,5,-3.7020743,40.428362,1170,2020-04-22T08:00:00Z
